id_docente;nombre_docente;dirección;numero_secciones
00054826;Eliecer Johan Henao Camargo;Carrera 71I # 88V-63 Sur 705567 Colosó, Sucre;2
00055300;Yazmín Rengifo;Av. James Wilson Polo Ramírez # 94-4 Este 525490 San Lorenzo, Nariño;4
00055397;Jeferson José Galeano;Avenida Santa María # 5M-1 Oficina 3 054677 Sabaneta, Antioquia;2
00055098;Doris Hernández;Calle 25 # 7-84 Sur Torre 9 apartamento 44 686525 Jesús María, Santander;2
00054930;Myriam Stella González Pérez;Carrera 3ª # 3-84 Este 175877 Pensilvania, Caldas;1
00055222;Fabián Martínez;Avenida Tolima # 5-73 Torre 5 apartamento 78 156246 Turmequé, Boyacá;1
00055352;Antonio Murillo;Av. calle 80 # 9-40 709954 El Roble, Sucre;4
00055455;Yaneth Álvarez Ospina;Calle 67 # 82-75 Este Casa 49 159230 Tipacoque, Boyacá;2
00055807;Ana Martínez Pinzón;Transversal 36 # 8-3 Este Casa 8 209131 Tamalameque, Cesar;2
00055400;Oswaldo González;Diagonal 6 Bis # 5-85 Sur Casa 6 150629 Chitaraque, Boyacá;1
00055443;David Jesús Rodríguez Palacios;Dg. 191D # 6R-47 479546 Pedraza, Magdalena;2
00055242;Victoria Espitia;Calle 4ª # 1-5 Apartamento 896 200612 Chiriguaná, Cesar;1
00054977;Arnulfo Armando Bonilla Ruiz;Cr. 72 # 65-6 Este 765556 Trujillo, Valle del Cauca;4
00055035;Catalina Gloria Carvajal;Cl. 89 # 3-38 Este 205326 Becerril, Cesar;1
00055740;Segundo Ángel Benítez;Carrera 88 # 7-68 Sur Local 442 254106 Tabio, Cundinamarca;1
00055416;Marina Ayala;Av. calle 6ª # 96-5 Este Torre 6 apartamento 928 181587 El Doncello, Caquetá;2
00055705;Alberto Alfonso Villa;Cl. 2ª # 94-7 Bodega 9 050031 Fredonia, Antioquia;4
00055698;Pablo Blanco Paz;Carrera 7I # 15-2 Sur 506313 Mesetas, Meta;3
00055401;Julia Cárdenas Rodríguez;Transversal 6B Este # 1-73 156251 Floresta, Boyacá;2
00055197;Alberto Elver Montes;Calle 3ª # 75-53 Sur 880068 Providencia, Archipiélago de San Andrés, Providencia y Santa Catalina;2
00055185;James Wilder Rivera Quintero;Cl. 103R # 9-27 Sur 051575 Girardota, Antioquia;3
00055679;Mariana Alcira Tovar Rojas;Cl. 73 # 89-81 Sur 523537 Barbacoas, Nariño;4
00055159;Ivonne Buitrago;Carrera 21 # 9M-5 Este Torre 5 apartamento 65 254784 Chipaque, Cundinamarca;4
00055417;Yamile Patricia Castillo;Calle 40 # 95-5 Sur 157046 Miraflores, Boyacá;1
00055366;Carolina Gina Morales;Calle 4M # 3-41 Este Etapa 5 apartamento 8 190392 López de Micay, Cauca;2
00055396;Adriana Arrieta Figueroa;Av. Edilson Santiago Gómez # 4C-5 Este Apartamento 7 505741 Guamal, Meta;2
00055610;Carmen Esperanza Lozano;Av. carrera 189 # 3-87 Este 254608 Vergara, Cundinamarca;1
00055549;José Alirio Ceballos Garcés;Transversal 184 # 9Y-58 200347 La Jagua de Ibirico, Cesar;1
00055453;Cecilia Elizabeth Mena Castro;Cr. 92Y # 6M-4 Este Apto. 79 523190 Imués, Nariño;2
00054942;Andrea Dora Hernández Páez;Carrera 51 # 8X-41 Este 680247 La Belleza, Santander;2
00055240;Alexander Hernández;Carrera 132J # 3-6 Local 7 547336 Sardinata, Norte de Santander;2
00054933;Emilio Trujillo;Avenida carrera 51 # 91-20 Sur Apartamento 739 151241 Paipa, Boyacá;2
00055369;Angie Rico Serrano;Calle 5ª # 7T-99 Sur 058488 Betania, Antioquia;1
00055739;María Margoth Caballero;Avenida calle 51 # 76Y-2 Este Etapa 6 apartamento 84 056643 Carepa, Antioquia;1
00055153;Katherine Marlene Rojas Sepúlveda;Carrera 21 # 9-24 Sur Apartamento 32 255111 Agua de Dios;3
00055589;Pablo Maldonado Alzate;Cr. 4S # 7E-1 159102 Villa de Leyva, Boyacá;1
00055545;Luisa Zambrano Mosquera;Carrera 52M # 7-9 Este Local 72 155398 Almeida, Boyacá;3
00054910;Cristian Barrera Ardila;Transversal 4X # 1W-97 Este 547796 Puerto Santander, Norte de Santander;1
00055617;Estela Yolanda Rojas;Calle 59 # 3-42 Este Oficina 31 543905 Pamplona, Norte de Santander;2
00055649;Inés Cecilia Bohórquez Ocampo;Cl. 12 # 7-25 Sur 274352 Tadó, Chocó;1
00055726;Julio Pedro Ospina;Cl. 77 # 22-36 Este Apto. 49 150239 Nobsa, Boyacá;4
00054841;Diego Jeisson Delgado;Av. Gaitán # 3-8 153924 Turmequé, Boyacá;2
00055382;Luz Acevedo Ruiz;Cl. 43D # 66-2 Este 508535 El Calvario, Meta;3
00055325;Angélica Valencia;Carrera 9D Este # 3-8 631620 Circasia, Quindío;2
00055431;Andrés Ramírez Ortiz;Carrera 5M # 33-51 137275 Turbaná, Bolívar;3
00054912;Nelson Jaramillo;Calle 59 # 18-5 200933 Manaure Balcón del Cesar, Cesar;4
00055141;María León;Carrera 134 # 89-20 Sur Oficina 36 915156 Puerto Arica, Amazonas;4
00055249;Elisa María Contreras Galindo;Cl. 9ª # 8-73 Este 522667 La Unión, Nariño;1
00055755;María Miranda;Avenida calle 161 # 89-9 Este Apto. 708 196662 Popayán;2
00054948;Edgar Junior Saavedra;Calle 28 # 72-4 Este Oficina 754 761068 Toro, Valle del Cauca;1
00054920;José Fernando Londoño;Cl. 76 # 5-85 Este Torre 7 apartamento 74 082686 Santa Lucía, Atlántico;2
00055769;Gina Gabriela González;Avenida Norte de Santander # 13-5 Sur 187338 Belén de los Andaquíes, Caquetá;3
00055793;María Guerrero Ramírez;Tr. 7I Bis # 83-88 Sur 523896 Iles, Nariño;1
00054840;Mariela Carrillo Morales;Cr. 29 # 57-30 Este Apto. 714 055190 Carolina, Antioquia;4
00054941;Constanza Patricia Cárdenas;Avenida Risaralda # 4-77 Apartamento 71 187348 El Doncello, Caquetá;3
00055695;Marcela Perea Vargas;Cl. 46 # 3S-79 Apto. 9 918401 Puerto Arica, Amazonas;2
00055543;Ana Luz Ceballos;Calle 47 # 64-2 546293 Cucutilla, Norte de Santander;3
00054890;Marcela Cristina Caicedo;Transversal 87 # 52M-28 Etapa 8 apartamento 6 089903 Baranoa, Atlántico;1
00055504;Carlos José Cifuentes;Cl. 156B Bis O # 30B-9 057174 La Ceja, Antioquia;1
00055152;Carmen Ana Agudelo Rincón;Tr. 35 # 35-50 Este 476469 Concordia, Magdalena;4
00055668;Karina Victoria Domínguez;Carrera 6F # 57-1 Este Local 4 473613 Pijiño del Carmen, Magdalena;3
00054856;Sindy Cecilia Agudelo;Cl. 8C # 3-4 521393 Sandoná, Nariño;4
00055229;Nidia Fernández;Calle 8 Bis # 83-4 Sur Etapa 8 apartamento 914 156190 Iza, Boyacá;2
00055445;Roberto Wilmar Pinto Osorio;Av. carrera 89 # 77C-1 Este Apto. 38 523142 Providencia, Nariño;3
00055129;Carlos Edwin Díaz Giraldo;Cr. 79 # 1-65 Apartamento 3 082123 Juan de Acosta, Atlántico;4
00055063;Luisa Adriana Gómez Ramos;Diagonal 2V # 55-7 Sur Apartamento 1 199944 Padilla, Cauca;3
00055343;Dayana Rubio Caicedo;Carrera 41 Bis # 37-7 Este Casa 53 180560 San José del Fragua, Caquetá;2
00055590;Graciela Mónica Villamil Ochoa;Carrera 88 Bis # 81-3 Este Oficina 5 470980 Sabanas de San Ángel, Magdalena;1
00055711;Lorena Sandra Sánchez Molano;Transversal 92 # 6-38 Sur 171089 San José, Caldas;2
00055572;Humberto José Ariza Vargas;Carrera 87 # 75-15 Oficina 46 470179 Nueva Granada, Magdalena;2
00055729;Nelson Maldonado Gómez;Cr. 62 # 7-11 Oficina 6 130334 Clemencia, Bolívar;3
00055003;Cristina Maribel Bernal Sánchez;Dg. 72R Bis # 65-6 Bodega 35 193653 Suárez, Cauca;1
00055629;José Rodríguez Bermúdez;Cr. 173 # 2-1 Sur 683272 Ocamonte, Santander;1
00054953;José Estiven Vásquez Cruz;Avenida carrera 108 # 42-86 Apto. 36 470245 Remolino, Magdalena;3
00055491;Carlos Rafael Parra Hernández;Dg. 36V # 19O-7 Este Bodega 5 250264 Sopó, Cundinamarca;2
00055117;Diana Paola Rivera;Carrera 5ª # 1-8 Etapa 2 apartamento 62 255408 Vergara, Cundinamarca;2
00054857;Paola Camila Barrera Gómez;Transversal 4ª # 43T-62 Sur Oficina 1 738617 Falan, Tolima;1
00054958;Adriana Astrid Ramos;Cr. 146 Sur # 7-7 Bodega 95 206228 Manaure Balcón del Cesar, Cesar;4
00055708;Gerardo Cruz;Cr. 85 # 78O-4 Sur Oficina 1 509444 Acacías, Meta;4
00054937;Pilar Acosta;Cl. 50 # 8-41 Local 2 193715 Guachené, Cauca;3
00055494;David Garzón Rincón;Carrera 3U # 4-87 Sur Local 9 059064 Jardín, Antioquia;1
00055322;Gerardo Rafael Camargo;Cl. 42 # 4E-68 Casa 49 190856 Silvia, Cauca;2
00055469;María Alexandra Rodríguez;Calle 7L # 77-9 Apto. 91 544221 El Zulia, Norte de Santander;2
00055408;Daniela Fernanda Rodríguez Correa;Carrera 3ª # 71-12 Sur Bodega 76 250220 Viotá, Cundinamarca;1
00055768;Jorge Marín Córdoba;Cl. 6 Bis # 9-31 Sur 158367 Socotá, Boyacá;1
00055258;Juan Vargas;Av. calle 79 # 9W-97 Local 884 192313 Argelia, Cauca;1
00055316;Alexander Peña Acosta;Calle 11 # 34-9 Este 051237 Copacabana, Antioquia;2
00054848;Eduardo José Zuluaga;Avenida carrera 37 # 35-7 Sur Apartamento 65 857631 Monterrey, Casanare;3
00055576;María Lucía Montes;Carrera 65 # 90-36 Este 259549 Machetá, Cundinamarca;2
00054919;María Rodríguez Ortiz;Carrera 9H # 47-24 Bodega 14 470306 Santa Bárbara de Pinto, Magdalena;3
00055404;Andrea Marina Rincón;Calle 15 # 9-6 Este Etapa 8 apartamento 1 155170 Tinjacá, Boyacá;4
00054861;Adriana Rodríguez Cortés;Dg. 14 # 43-91 Casa 3 503597 Vistahermosa, Meta;1
00055006;Víctor Gabriel Morales Gómez;Avenida Castillo # 3U-36 Etapa 4 apartamento 59 687712 Confines, Santander;4
00055216;José José Ramírez Gutiérrez;Tr. 132 # 5-55 Este 502206 Restrepo, Meta;2
00055364;Luz Pineda Hernández;Av. Castrillón # 91-27 Sur 251280 Suesca, Cundinamarca;2
00055515;Nelson Camilo Gómez Peña;Cr. 155G # 2-6 Bodega 743 250940 Granada, Cundinamarca;4
00055353;Pilar Jaimes Páez;Av. calle 162 # 19R-21 Sur 540408 Ragonvalia, Norte de Santander;4
00055806;Fernando Mauricio Bernal Ríos;Cr. 5ª # 3-47 Sur Torre 3 apartamento 34 919542 Puerto Alegría, Amazonas;4
00055809;Andrea Verónica Correa;Carrera 80 # 7-5 Sur 869345 Valle del Guamuez, Putumayo;3
00055521;César David Vega;Av. carrera 2ª # 8-2 Este 051571 Caracolí, Antioquia;4
00055737;Teresa Jimena Perdomo;Calle 4ª # 5-9 Este 088041 Puerto Colombia, Atlántico;4
00055765;Lucía Ríos Giraldo;Cr. 7ª # 5-1 Este Casa 23 134672 El Peñón, Bolívar;4
00054899;Andrés Ocampo;Cl. 11 # 7-5 Este 507310 El Castillo, Meta;3
00055406;Mery Yaneth Rodríguez;Cr. 1X # 4-57 Sur 763266 Ansermanuevo, Valle del Cauca;1
00055257;Yamile Marta Morales;Cr. 61 # 24-15 Este 153942 Pajarito, Boyacá;3
00055562;Rocío Flor Hernández;Avenida calle 79 # 7-41 Este Apto. 5 084504 Sabanalarga, Atlántico;4
00055776;Beatriz Victoria Gómez;Calle 42 # 1-3 Este Bodega 567 918119 Leticia;4
00055234;Juan Suárez Ramírez;Carrera 40 # 59-7 856195 Aguazul, Casanare;1
00055386;Ernesto Alfredo Bastidas Daza;Cr. 27 # 42V-32 Este Torre 9 apartamento 671 250519 Facatativá, Cundinamarca;1
00055001;Lorena Marina Narváez Gómez;Calle 185R # 2-5 Sur 180517 Albania, Caquetá;4
00054992;Antonio Leonardo Torres Pinzón;Av. carrera 8ª # 8-61 Sur Bodega 2 733078 Casabianca, Tolima;2
00055149;Guillermo Edwin Pinto;Av. calle 133 # 7P-2 Sur 182068 Curillo, Caquetá;2
00054987;Karol Milena Torres Rodríguez;Carrera 165Q # 8J-51 Este Local 96 957101 San José del Guaviare;3
00055479;Elizabeth Carrillo;Cr. 91 # 2-96 Sur Local 1 680246 Santa Helena del Opón, Santander;4
00055161;Leidy María Vélez Cabrera;Cr. 149Q Sur # 2-71 Este Bodega 75 137906 Turbaco, Bolívar;1
00054938;José Orlando Cifuentes Manrique;Cl. 188E # 2H-77 Oficina 38 151448 Tutazá, Boyacá;4
00055561;Aida Rocío Valencia Marín;Carrera 23R # 9-64 Sur 413123 San Agustín, Huila;3
00055412;Edilberto Cifuentes Gómez;Dg. 82 # 2-29 Este 996227 Cumaribo, Vichada;4
00055385;Marina Daniela Carrillo;Diagonal 39 # 78-45 Sur 864546 Santiago, Putumayo;2
00055261;Jhoan Guerrero Calderón;Cr. 16 # 69-1 Sur Casa 2 157882 Otanche, Boyacá;1
00055772;Fernando Sebastián Díaz;Calle 188J # 58-58 Torre 8 apartamento 32 686243 Concepción, Santander;1
00055238;Juan Ortega López;Carrera 187 # 64-1 Sur 278991 Bojayá, Chocó;4
00055095;Cecilia Daniela Guerra Guerrero;Av. Atlántico # 39-7 Este 256180 La Palma, Cundinamarca;3
00054990;Esther Laura Henao Contreras;Diagonal 147 # 8P-8 Apartamento 93 138512 San Cristóbal, Bolívar;3
00054950;Yuliana Naranjo Barreto;Carrera 21 # 78-1 Este Oficina 101 854863 Tauramena, Casanare;4
00055286;José Reinaldo Pérez Narváez;Cr. 8ª # 49A-13 Este Oficina 6 139726 Barranco de Loba, Bolívar;1
00054863;Gloria Perdomo Arévalo;Cr. 51 # 3W-8 Este Bodega 1 150431 Floresta, Boyacá;1
00055463;Alejandra Peña;Av. Cundinamarca # 67-40 Apartamento 8 479366 Tenerife, Magdalena;4
00054935;Andrés Javier Vargas Benavides;Carrera 3ª # 1-92 Torre 1 apartamento 9 737489 Valle de San Juan, Tolima;2
00054998;Esteban César Ballesteros Hernández;Cl. 67G Sur # 21-4 853386 Támara, Casanare;3
00055796;Carlos Sánchez Villamil;Carrera 165 # 18-36 Este 682285 Landázuri, Santander;2
00054897;Ana Beltrán Murillo;Diagonal 147X # 2-96 Sur 250633 Caparrapí, Cundinamarca;3
00055225;Ligia Alba Mosquera;Avenida carrera 146 # 1-9 856752 Tauramena, Casanare;1
00055501;Inés Yazmín Rentería;Calle 71 # 34-33 Bodega 908 506849 San Juan de Arama, Meta;2
00055677;Adriana Mercedes Rodríguez;Av. calle 1ª # 9P-92 Este 151955 Sáchica, Boyacá;3
00055297;Marcela Pérez Camacho;Av. carrera 101 # 60-3 Apartamento 38 057423 Caldas, Antioquia;2
00055398;David Serrano Rivas;Cr. 196 # 3-46 Este 738111 Lérida, Tolima;1
00055108;Edilma Angélica Velasco Fuentes;Carrera 9 Bis Z # 27J-26 Casa 67 156272 Zetaquira, Boyacá;1
00054858;Jonathan Juan Perdomo;Av. Páramo # 6-4 Este Bodega 429 050176 Cañasgordas, Antioquia;3
00055247;Dora Herrera;Avenida carrera 1ª # 9-21 Sur 448251 Uribia, La Guajira;1
00055542;Laura Liliana Acosta Pabón;Cl. 19 # 9-5 Este 686451 Cimitarra, Santander;1
00055553;Kevin Hernández Medina;Cr. 94 # 6Q-41 Este 151146 La Capilla, Boyacá;4
00055723;Ricardo Herrera;Carrera 89 # 12-24 Casa 3 203244 Chiriguaná, Cesar;2
00055712;John Salazar;Calle 83 # 40-8 Este 239466 Cotorra, Córdoba;2
00055692;Melissa María Gamboa;Carrera 2T Bis P # 89-6 Sur 684914 San Andrés, Santander;2
00055713;Cecilia Mayerly Niño Peña;Calle 60 # 56-24 Torre 5 apartamento 31 257914 Vianí, Cundinamarca;3
00055720;Fredy Valencia Pinzón;Carrera 122 # 6-40 Este 053190 Yolombó, Antioquia;1
00055085;Patricia Jaimes;Tr. 97 # 8-4 Sur Casa 83 058879 Valparaíso, Antioquia;1
00055256;José Jhonatan Fonseca Rojas;Diagonal 143B # 9-80 Sur Apto. 91 529675 Aldana, Nariño;2
00055722;Nubia Ruiz Morales;Avenida carrera 80 # 4W-71 632559 Pijao, Quindío;4
00055355;Julio Mercado;Cr. 175S # 9J-27 Sur 709878 Guaranda, Sucre;2
00055795;Javier Felix Moreno;Dg. 28 # 43-39 Este 252530 Anapoima, Cundinamarca;3
00055670;Manuel José González Vera;Transversal 191 # 15-1 Este Bodega 3 183680 Morelia, Caquetá;3
00054985;Alexandra Gladys Contreras Gómez;Tr. 126 Este # 8-6 Este Apto. 542 256911 Guatavita, Cundinamarca;4
00055351;Paula María Sepúlveda;Cr. 38 # 15-55 Sur 158725 Quípama, Boyacá;2
00054974;Jairo Prieto Rubio;Carrera 6ª # 11N-18 Sur Bodega 358 703837 Colosó, Sucre;3
00055434;Andrés Velásquez;Dg. 8J Este # 2-9 Este 250877 Mosquera, Cundinamarca;4
00055228;Jairo David Córdoba;Cl. 88 # 67-97 Casa 34 089257 Ponedera, Atlántico;4
00055490;Maritza Franco Rodríguez;Cr. 61 # 9-2 Sur Apto. 91 205559 Aguachica, Cesar;2
00055374;Alfonso Mejía Hurtado;Cl. 82 # 5N-7 Etapa 1 apartamento 56 153902 Sativanorte, Boyacá;3
00055413;Angélica Fernanda Cardona Bravo;Cr. 1ª # 3-2 Este 205697 Tamalameque, Cesar;2
00055748;Andrés Hernández;Calle 11 # 4N-19 Etapa 9 apartamento 75 700455 Morroa, Sucre;1
00055636;Jorge Pacheco Figueroa;Av. carrera 8ª # 46-4 Este Apto. 3 523334 Contadero, Nariño;4
00055418;Javier Andrés Castellanos Betancur;Av. carrera 79 # 48-2 173322 Pácora, Caldas;4
00055049;Carmenza Pineda Gamboa;Cr. 13H Bis # 15-48 Sur 252761 Paime, Cundinamarca;4
00055285;César Deiby Torres Mendoza;Calle 69 # 2-60 Este 235219 San Andrés de Sotavento, Córdoba;2
00055072;José Rivera;Carrera 8W # 72-58 Este 529189 Chachagüí, Nariño;3
00055281;Fabián Ortiz;Avenida carrera 136 # 83-3 Sur Etapa 8 apartamento 203 151894 Cucaita, Boyacá;3
00055530;Alejandra Andrea Rendón;Cl. 25Q # 7B-1 Sur Oficina 92 195424 Jambaló, Cauca;1
00055478;Ferney Herrera;Cl. 20 # 77-3 Apto. 84 274166 Unguía, Chocó;4
00054907;Mariela Guerrero;Cl. 46 # 20S-9 Este 735860 Villahermosa, Tolima;1
00055797;Jenny Sofía Quiroz;Dg. 188 # 72-1 Este Oficina 46 191017 Timbío, Cauca;1
00055432;Rafael Caballero;Dg. 9 Bis G # 60-86 Este 157374 La Victoria, Boyacá;3
00054873;Manuel Niño Burgos;Carrera 178H # 39R-8 Este 735563 Santa Isabel, Tolima;3
00055189;Lida Daniela Salazar;Avenida La Primavera # 6-4 Sur Casa 41 735450 Icononzo, Tolima;2
00055647;Nancy Gloria Mendoza;Diagonal 83 # 37-2 Este Oficina 33 156219 San Eduardo, Boyacá;3
00055326;Héctor Herrera Vargas;Cr. 131 # 2-4 Sur Casa 6 205477 Tamalameque, Cesar;2
00055165;Laura Katerine Mejía López;Tr. 94 # 2-50 186378 Florencia;4
00054895;Milena Muñoz Hoyos;Av. carrera 140 # 96-35 Sur Apto. 8 204051 La Paz, Cesar;2
00055124;Alejandro Alexis Salcedo;Cl. 20T # 5-4 Sur 257132 San Antonio del Tequendama, Cundinamarca;4
00055344;Jesús Fernando Suárez;Dg. 4ª # 79V-31 735055 Alvarado, Tolima;2
00055783;Aldair Hernández;Cr. 10 # 1D-3 Sur Torre 4 apartamento 38 056905 Peque, Antioquia;1
00055340;Julieth Quintero Pérez;Cl. 5P # 6Z-66 Este Oficina 617 257029 Fúquene, Cundinamarca;3
00055438;Esteban Wilmer Castillo;Cl. 81 # 84-6 Sur 850483 Chámeza, Casanare;2
00055577;Andrés Hurtado;Avenida calle 141 # 48-65 Sur 051327 Envigado, Antioquia;4
00055661;David Eduardo Barreto;Calle 5R Sur # 68-6 Sur Torre 5 apartamento 47 733202 Melgar, Tolima;2
00055733;Elena Diana Olaya;Cl. 7ª # 3-49 Este 682606 El Carmen de Chucurí, Santander;2
00055362;Dairo Caro;Av. Archipiélago de San Andrés, Providencia y Santa Catalina # 26-4 Apto. 99 277270 Acandí, Chocó;2
00054947;Juan Herrera García;Av. Bolívar # 62-4 Este Apto. 9 502898 San Juanito, Meta;1
00055180;Luisa María Espinosa;Cr. 122 # 25-5 Este Apartamento 267 254192 Cogua, Cundinamarca;1
00055517;Alba Castillo;Diagonal 28 # 6-36 Sur 738410 Ibagué;4
00055817;Dary Ortiz Polo;Av. carrera 92 # 86-8 Este Etapa 9 apartamento 9 199154 Toribío, Cauca;4
00055760;Laura Patiño Ortega;Carrera 145 # 4-3 685414 Floridablanca, Santander;4
00055090;William Armando Vanegas;Calle 93 # 9-69 Este Local 898 733863 Santa Isabel, Tolima;4
00055246;Jean Martínez;Calle 56 # 1-5 Apto. 619 413732 San Agustín, Huila;1
00055643;Alejandra Gloria Garcés;Cr. 19M # 9-12 Este Apartamento 587 253613 Fusagasugá, Cundinamarca;1
00055637;César Adrián Galvis;Avenida calle 3ª # 4N-2 Sur 171420 Risaralda, Caldas;4
00055520;Diego Eduard Álvarez Ramírez;Av. Pinillos # 36O-6 Este Casa 7 738941 Fresno, Tolima;4
00055704;Constanza Medina;Calle 115C # 83-98 054321 Girardota, Antioquia;1
00055113;Luis Reinaldo Gutiérrez;Calle 9ª # 7-89 Este Oficina 1 258468 Medina, Cundinamarca;1
00054911;Mónica Medina;Cl. 15 # 9-59 Casa 5 661346 Pereira;3
00055239;Julián Juan Sánchez;Cl. 76 Sur # 8-92 Este 681783 Ocamonte, Santander;1
00055227;Fabián Parra;Carrera 8ª # 4-51 157322 Zetaquira, Boyacá;2
00055391;José Tomás López;Transversal 17 # 1-73 252622 San Antonio del Tequendama, Cundinamarca;3
00054905;Rosa Velandia Forero;Av. Eliecer Acevedo Rivas # 2-10 Este 701886 Caimito, Sucre;2
00055002;Ana Castro Agudelo;Cr. 2E # 63-9 411893 Agrado, Huila;2
00055568;Rubiela Sánchez Mejía;Calle 84 # 75-32 Sur Local 2 193772 La Sierra, Cauca;2
00054909;Blanca Granados;Cl. 149 # 94-6 Sur 254717 La Vega, Cundinamarca;3
00055531;Vanesa Yuri Rojas Morales;Calle 34 # 9-59 153182 Paya, Boyacá;4
00054829;Ruth María Rojas Ochoa;Avenida carrera 109 # 53-11 Sur 701261 Caimito, Sucre;1
00054860;Sofía Lida Muñoz;Av. calle 1ª # 62-7 Sur Oficina 514 153653 Pajarito, Boyacá;2
00055328;Felix Alexander López;Cl. 10 # 53-8 Sur Apartamento 6 194052 Jambaló, Cauca;3
00055156;Diana Alicia González;Cl. 166 Sur # 7-3 543724 Lourdes, Norte de Santander;4
00055803;Lucila Betancur Olaya;Cr. 32S # 3-1 Este Apto. 782 053010 Amagá, Antioquia;1
00055667;Julio López Cuesta;Av. carrera 112 # 8-5 Sur 704933 El Roble, Sucre;3
00055033;Martha Isabel Sierra Ayala;Cl. 172R # 90-5 416414 Garzón, Huila;2
00055489;Natalia Dahiana Gómez;Cr. 89 # 50-10 Sur Bodega 68 153586 Cubará, Boyacá;2
00055742;Marina Carolina Ávila;Carrera 57Y # 58O-6 Sur Apto. 285 234663 Ciénaga de Oro, Córdoba;1
00055470;Edwin Rivera;Carrera 19 # 7-90 Sur Oficina 909 152183 San Eduardo, Boyacá;1
00054926;Clemencia Suárez;Cr. 11 # 92X-5 815280 Saravena, Arauca;3
00054943;William Zambrano;Cl. 44 # 85-52 Sur Etapa 7 apartamento 86 133974 Barranco de Loba, Bolívar;3
00055226;Ricardo Franco Gallego;Calle 105Z Bis K # 6L-8 152918 Covarachía, Boyacá;4
00055663;Elena María Camacho Restrepo;Cr. 103 # 92-64 Este Etapa 8 apartamento 4 543017 Villa del Rosario, Norte de Santander;3
00055263;Adiela Vargas;Diagonal 115X # 44-67 Sur 505747 Acacías, Meta;2
